~id,~from,~to,~label,score:Int
9c8459a0-f54e-11ea-a3f0-a45e60e78b29,003A000001KDVaMIAX,003A000000rZ5hzIAC,knows,1
9c845a40-f54e-11ea-a3f0-a45e60e78b29,003A000001iDJL4IAO,003A000000yMvUnIAK,knows,2
9c845ae0-f54e-11ea-a3f0-a45e60e78b29,003A000001qK6sIIAS,003A000001hGaBUIA0,knows,1
9c845b80-f54e-11ea-a3f0-a45e60e78b29,0032K00002Ajm1VQAR,003A000001nabhWIAQ,knows,1
9c845c20-f54e-11ea-a3f0-a45e60e78b29,003A000001nyiTUIAY,003A000001hrXn2IAE,knows,3
9c845cc0-f54e-11ea-a3f0-a45e60e78b29,003A0000021ELjpIAG,003A0000012Sx0pIAC,knows,1
9c845d60-f54e-11ea-a3f0-a45e60e78b29,003A00000215sCDIAY,003A000001zVY98IAG,knows,None
9c845e00-f54e-11ea-a3f0-a45e60e78b29,003A000001slo7oIAA,003A000001HZO6xIAH,knows,3
9c845ea0-f54e-11ea-a3f0-a45e60e78b29,003A000000yMvbxIAC,003A000001SopEGIAZ,knows,3
9c845f40-f54e-11ea-a3f0-a45e60e78b29,003A000001tOMvfIAG,0032K00002EmCdqQAF,knows,None
9c845fe0-f54e-11ea-a3f0-a45e60e78b29,003A000001nybi4IAA,003A000000yMvdiIAC,knows,2
9c84609e-f54e-11ea-a3f0-a45e60e78b29,003A000001wWbDFIA0,003A0000022C6uNIAS,knows,None
9c84618e-f54e-11ea-a3f0-a45e60e78b29,003A000001LNlwoIAD,0032K00002En8ccQAB,knows,None
9c84626a-f54e-11ea-a3f0-a45e60e78b29,003A000001fWRNzIAO,003A000001sln3rIAA,knows,None
9c84633c-f54e-11ea-a3f0-a45e60e78b29,003A000001slo7oIAA,003A000001KDVS1IAP,knows,1
9c8463e6-f54e-11ea-a3f0-a45e60e78b29,003A000001pVkdUIAS,003A000001wYQ7DIAW,knows,None
9c8464fe-f54e-11ea-a3f0-a45e60e78b29,003A000001E6vtWIAR,003A000001XDG4XIAX,knows,1
9c84662a-f54e-11ea-a3f0-a45e60e78b29,003A000000yMvaXIAS,0032K00002G42CWQAZ,knows,2
9c846756-f54e-11ea-a3f0-a45e60e78b29,003A0000026Q0g8IAC,0032K00002CmhXbQAJ,knows,None
9c846882-f54e-11ea-a3f0-a45e60e78b29,003A000001sNQ0QIAW,003A0000021CBT0IAO,knows,None
9c846940-f54e-11ea-a3f0-a45e60e78b29,003A000001dMHGpIAO,003A0000021aeqdIAA,knows,1
9c846a62-f54e-11ea-a3f0-a45e60e78b29,003A000001wUZ7RIAW,003A00000215nFJIAY,knows,1
9c846c2e-f54e-11ea-a3f0-a45e60e78b29,003A000001slvTqIAI,003A000001hVxs4IAC,knows,1
9c846d14-f54e-11ea-a3f0-a45e60e78b29,003A000001rjIP9IAM,003A000001slscPIAQ,knows,None
9c846db4-f54e-11ea-a3f0-a45e60e78b29,0032K00002NCG4iQAH,003A000001Spw6VIAR,knows,1
9c846e54-f54e-11ea-a3f0-a45e60e78b29,003A000001Ed0oBIAR,003A000001xgBfBIAU,knows,None
9c846efe-f54e-11ea-a3f0-a45e60e78b29,003A000001KDVbqIAH,003A000001hrRpBIAU,knows,2
9c847124-f54e-11ea-a3f0-a45e60e78b29,003A000001KDVRWIA5,003A000001sQOKDIA4,knows,1
9c847390-f54e-11ea-a3f0-a45e60e78b29,003A0000024mSqLIAU,003A000001xhG1cIAE,knows,None
9c84766a-f54e-11ea-a3f0-a45e60e78b29,003A000001MbttxIAB,003A000001RvqQxIAJ,knows,3
9c847818-f54e-11ea-a3f0-a45e60e78b29,003A000000yMvd1IAC,003A000001qENCeIAO,knows,0
9c8478f4-f54e-11ea-a3f0-a45e60e78b29,003A0000020Gdc6IAC,003A000001u3tP0IAI,knows,None
9c8479bc-f54e-11ea-a3f0-a45e60e78b29,003A000001OyvvoIAB,003A0000028Cj5uIAC,knows,None
9c847ab6-f54e-11ea-a3f0-a45e60e78b29,003A000001zWg6yIAC,003A000001yjk2GIAQ,knows,None
9c847ba6-f54e-11ea-a3f0-a45e60e78b29,003A000001kIfu2IAC,003A000001pVHniIAG,knows,0
9c847c96-f54e-11ea-a3f0-a45e60e78b29,003A000001mwVtJIAU,003A000001ykF6hIAE,knows,None
9c847d72-f54e-11ea-a3f0-a45e60e78b29,003A000001fZ0jPIAS,003A000001issWWIAY,knows,1
9c847e1c-f54e-11ea-a3f0-a45e60e78b29,003A000001nybi4IAA,003A000001ykTahIAE,knows,None
9c847ebc-f54e-11ea-a3f0-a45e60e78b29,003A000001rhWlDIAU,003A000001VsCqdIAF,knows,1
